"","ID","Dia","Mes","Any","Lloc","Grau_Perill","Tipus_Desencadenant","Origen","Mida","Membres","Arrossegats","Ferits","Morts","Activitat","lat","long"
"88",301,"15","03","2013","La Serrera",4,"Placa (PL)","Accidental",NA,2,2,1,1,"Esquí de muntanya",42.624564,1.60134
"89",308,"15","03","2013","Bagneres de Bigorre",4,"Placa (PL)","Accidental",NA,1,1,0,1,"Esquí fora pista",42.931525,0.128904
"90",464,"15","03","2013","Pic de la Serrera",3,"Placa (PL)","Accidental",3,2,2,1,1,"Esquí de muntanya",42.6245493654683,1.60241801460731
"91",285,"09","03","2013","Dos hermanas",3,"Desconegut","Desconegut",NA,3,1,1,0,"Alpinisme",40.838336,-3.964539
"92",354,"05","03","2013","Saint Lary",-1,"Desconegut","Desconegut",NA,10,6,3,0,"Excursionisme",42.819261,0.324764
"93",367,"02","03","2013","Cambradase",-1,"Desconegut","Desconegut",NA,3,2,0,0,"Esquí de muntanya",42.45563,2.127858
"94",323,"11","02","2013","Tanau",4,"Desconegut","Natural",NA,1,1,1,0,"Altres",42.70286,0.939772
"95",222,"02","01","2013","Gourette",2,"Placa (PL)","Desconegut",NA,2,1,0,1,"Esquí fora pista",42.932324,-0.338182
"96",360,"01","01","2013","Garmo Negro",-1,"Placa (PL)","Desconegut",NA,7,3,2,0,"Excursionisme",42.770327,-0.26772
"97",304,"06","12","2012","Piau Engaly",4,"Placa (PL)","Accidental",NA,5,3,2,0,"Esquí fora pista",42.770149,0.146096
"98",243,"06","04","2014","Puigmal",3,"Placa (PL)","Accidental",NA,10,0,0,0,"Esquí de muntanya",42.376775,2.088035
"99",342,"17","02","2014","Pico Bóveda",-1,"Placa (PL)","Accidental",NA,2,1,0,1,"Alpinisme",43.047,-4.3884
"100",270,"30","01","2014","Xemeneies",3,"Placa (PL)","Accidental",NA,1,1,0,0,"Esquí de muntanya",42.433509,2.252473
"101",279,"26","01","2014","Puigmal",3,"Placa (PL)","Accidental",NA,10,0,0,0,"Esquí de muntanya",42.382072,2.118613
"102",299,"26","01","2014","Vall de Campcardós",3,"Desconegut","Desconegut",NA,6,4,0,0,"Esquí de muntanya",42.507833,1.777912
"103",326,"24","01","2014","Els Argulls, Baqueira Beret",4,"Desconegut","Desconegut",NA,4,2,2,0,"Treballant",42.684397,0.965595
"104",298,"23","01","2014","Puigmal",3,"Placa (PL)","Desconegut",NA,3,2,1,0,"Esquí de muntanya",42.382072,2.118613
"105",297,"21","01","2014","La Carbassa",3,"Desconegut","Desconegut",NA,1,1,0,0,"Esquí de muntanya",42.452742,1.727821
"106",309,"21","01","2014","Pico Gallinero",4,"Desconegut","Accidental",NA,3,1,1,-1,"Esquí fora pista",42.5437,0.551517
"107",350,"26","12","2013","Soldeu",-1,"Desconegut","Accidental",NA,3,1,0,1,"Esquí fora pista",42.561345,1.655942
"108",463,"25","12","2013","Soldeu",4,"Placa (PL)","Accidental",NA,3,1,0,1,"Taula fora pista",42.5597820201627,1.65688952743057
"109",247,"25","03","2015","Coll d'Amitges",3,"Placa (PL)","Accidental",NA,3,3,0,0,"Esquí de muntanya",42.607585,0.989662
"110",231,"17","03","2015","Montardo",2,"Placa (PL)","Accidental",NA,1,1,0,0,"Esquí de muntanya",42.632623,0.87496
"111",317,"02","02","2015","Blanhiblar",4,"Placa (PL)","Accidental",NA,2,2,1,0,"Taula fora pista",42.722681,0.944691
"112",320,"30","01","2015","Pleta de Molières-Port de Vielha",4,"Puntual (PU)","Accidental",NA,1,1,-1,0,"Esquí de muntanya",42.634301,0.75251
"113",252,"25","01","2015","Blanhiblar",3,"Placa (PL)","Accidental",NA,1,1,0,0,"Esquí fora pista",42.722681,0.944691
